time_ns,ligand_pose_rmsd_A,ligand_sasa_nm2,protein_ligand_contact_atoms_4A,protein_ligand_contact_atoms_8A
0.0,0.0,0.06343697,48,333
0.5,1.2150214,0.0359778,53,327
1.0,1.0758663,0.04922863,50,332
1.5,1.6557384,0.042748094,47,322
2.0,1.2254685,0.040935084,46,324
2.5,1.1445062,0.030075235,44,333
3.0,1.4271357,0.114189506,47,330
3.5,1.3857995,0.21439335,40,326
4.0,1.3371365,0.047500193,35,326
4.5,0.96679443,0.05276848,46,325
5.0,1.1704856,0.14128707,47,339
5.5,1.0352831,0.2801718,37,313
6.0,0.9130751,0.15035088,39,325
6.5,1.5224843,0.15753756,37,316
7.0,1.287604,0.33530697,37,321
7.5,1.4962943,0.37328476,34,313
8.0,0.8383805,0.35143635,35,309
8.5,1.4892596,0.372605,41,312
9.0,1.0288792,0.5397837,45,311
9.5,1.0095727,0.23774618,50,313
10.0,1.0831544,0.3114752,42,306
10.5,1.2716184,0.29667342,36,306
11.0,1.0879328,0.41251308,40,303
11.5,1.3735614,0.44009396,40,312
12.0,1.339737,0.29888758,41,307
12.5,1.3685756,0.40546522,43,295
13.0,1.2535193,0.21889438,41,313
13.5,1.6761233,0.2334803,48,320
14.0,1.4274557,0.18016185,41,322
14.5,1.4404728,0.23942517,46,305
15.0,1.290858,0.17082265,37,322
15.5,1.0885507,0.2531909,46,311
16.0,1.3137836,0.2502058,50,314
16.5,1.5698047,0.21302916,58,318
17.0,1.2258754,0.15199852,52,315
17.5,1.3200996,0.20738389,52,319
18.0,1.2620102,0.1444307,55,314
18.5,1.4722195,0.1407007,52,317
19.0,1.4716237,0.18564552,58,324
19.5,1.7719393,0.1919638,50,317
20.0,1.4994467,0.1266917,51,306
20.5,1.5951723,0.15226623,51,318
21.0,1.3549935,0.15790626,46,314
21.5,1.603875,0.29759872,48,305
22.0,1.5531479,0.20495838,53,307
22.5,1.5607046,0.16538435,54,312
23.0,1.5698583,0.13160837,48,309
23.5,1.2857049,0.13205113,48,315
24.0,1.2817078,0.12812603,49,306
24.5,1.407799,0.16382468,51,322
25.0,1.5168399,0.15145613,49,314
25.5,1.4841044,0.13817179,57,322
26.0,1.3886366,0.12621403,53,311
26.5,1.4724777,0.17464316,54,317
27.0,1.2688475,0.15365297,46,309
27.5,1.3342865,0.15184338,50,318
28.0,1.014107,0.14394063,45,316
28.5,1.5335455,0.22066122,48,315
29.0,1.1278863,0.106470816,48,315
29.5,1.4360526,0.19055086,47,314
30.0,1.2834387,0.16709472,53,323
30.5,1.456319,0.21287408,56,316
31.0,1.2640829,0.24097809,48,316
31.5,1.4617457,0.1687682,50,320
32.0,1.3240316,0.12411528,47,313
32.5,1.326586,0.15434164,52,320
33.0,1.3778596,0.16784066,48,309
33.5,1.3601171,0.21916962,46,312
34.0,1.4714323,0.25538266,45,308
34.5,1.313201,0.27015907,50,311
35.0,1.5495915,0.1753161,53,320
35.5,1.3874955,0.23495138,48,317
36.0,1.242399,0.18361147,49,313
36.5,1.4092321,0.12438645,53,321
37.0,1.3861194,0.23752408,51,317
37.5,1.5644324,0.19114575,45,330
38.0,1.2014507,0.27507216,45,314
38.5,1.2274483,0.19427273,51,307
39.0,1.4820652,0.24134767,51,319
39.5,1.222466,0.22697058,44,322
40.0,1.2403572,0.29583704,50,313
40.5,1.6134531,0.22578259,44,321
41.0,1.2543323,0.255102,42,317
41.5,1.3226343,0.30424199,47,325
42.0,1.4673867,0.35565108,44,317
42.5,1.2791907,0.25826016,52,316
43.0,1.5914886,0.28426343,51,315
43.5,1.5589302,0.23882571,57,310
44.0,1.3618654,0.29686946,47,315
44.5,1.4868342,0.32658637,55,312
45.0,1.4644036,0.29930687,52,319
45.5,1.4172194,0.35928875,47,305
46.0,1.5229838,0.42559046,57,316
46.5,1.5469024,0.2875036,46,306
47.0,1.5255291,0.36508662,57,318
47.5,1.3163927,0.4660226,55,307
48.0,1.3747187,0.40552613,56,312
48.5,1.1436546,0.47042593,49,311
49.0,1.9077389,0.52583086,49,303
49.5,1.8191524,0.54067624,53,306
50.0,1.5790565,0.50808424,53,307
50.5,1.5929654,0.5324575,47,300
51.0,1.423809,0.4413698,53,308
51.5,1.5162324,0.4500834,49,310
52.0,1.3524747,0.48165074,56,308
52.5,1.6554692,0.36437154,50,312
53.0,1.4659574,0.40311784,55,314
53.5,1.8159208,0.4661647,59,304
54.0,1.4902978,0.48054707,57,312
54.5,1.6013722,0.5248389,57,310
55.0,1.6429616,0.5022727,51,306
55.5,1.4982599,0.46419793,53,310
56.0,1.3786864,0.4252044,53,303
56.5,1.5721948,0.5143101,50,311
57.0,1.4740384,0.52927023,55,299
57.5,1.7789303,0.50932217,58,303
58.0,1.5701346,0.6004388,50,311
58.5,1.7711157,0.504048,62,324
59.0,1.3906105,0.42849898,56,312
59.5,1.6391681,0.5086827,54,306
60.0,1.6095186,0.50011533,51,311
60.5,1.4589255,0.3900053,54,316
61.0,1.8195596,0.35860553,58,297
61.5,1.5366488,0.5583186,57,312
62.0,1.7221044,0.6325539,55,305
62.5,1.7523415,0.6518171,53,301
63.0,1.5200481,0.5538935,53,301
63.5,1.5393112,0.4754871,56,313
64.0,1.621882,0.7213245,55,305
64.5,1.8291415,0.4250444,51,290
65.0,1.5819389,0.45886937,48,299
65.5,1.5033472,0.5541166,48,304
66.0,1.8920285,0.51732826,54,308
66.5,1.8640299,0.6044251,52,302
67.0,1.6110778,0.3774056,57,316
67.5,1.6417096,0.42988515,50,310
68.0,1.6590561,0.4257544,56,312
68.5,1.7907078,0.5711954,57,300
69.0,1.7030503,0.41605878,56,305
69.5,1.4731826,0.48729527,55,308
70.0,1.638835,0.47023147,47,309
70.5,1.6072977,0.4349627,46,309
71.0,1.646786,0.41958612,56,316
71.5,1.6500937,0.34610337,47,313
72.0,1.6667247,0.4302488,52,305
72.5,1.5541054,0.49377453,49,306
73.0,1.4384294,0.3231675,47,313
73.5,1.5286384,0.3840586,42,304
74.0,1.5422667,0.37131837,53,312
74.5,1.8062863,0.42326373,43,314
75.0,1.6540592,0.27583826,42,312
75.5,1.6276772,0.33212963,50,295
76.0,1.5777309,0.46707854,40,308
76.5,1.384694,0.453335,50,307
77.0,1.787096,0.36269,50,300
77.5,1.6249404,0.4134485,51,292
78.0,1.759738,0.345173,49,297
78.5,1.6665477,0.35287908,49,291
79.0,1.6377859,0.4762537,45,292
79.5,1.6304426,0.3918699,54,294
80.0,1.418785,0.41035375,50,295
80.5,1.6211329,0.4255289,47,285
81.0,1.218895,0.32721484,54,302
81.5,1.4712408,0.36817914,53,294
82.0,1.5377284,0.38411942,53,297
82.5,1.7004967,0.4804689,52,297
83.0,1.7521427,0.48462188,56,304
83.5,1.5024376,0.4663457,50,297
84.0,1.517036,0.35138357,49,299
84.5,1.5380276,0.4000302,53,293
85.0,1.878656,0.4165647,56,290
85.5,1.1310782,0.47276887,49,298
86.0,1.9414471,0.41893154,45,288
86.5,1.6332978,0.4725483,46,289
87.0,1.2140536,0.3686098,50,301
87.5,1.2825367,0.39089346,48,302
88.0,1.3775264,0.35432923,53,294
88.5,1.2535646,0.44080687,47,289
89.0,1.3800663,0.34549606,51,302
89.5,1.5270137,0.4421167,44,292
90.0,1.3707353,0.46730113,47,292
90.5,1.5748849,0.4790789,49,298
91.0,1.4142776,0.35964948,55,286
91.5,1.4741029,0.3163637,53,301
92.0,1.6066382,0.4194096,52,291
92.5,1.3706782,0.4010245,49,291
93.0,1.3928647,0.36334923,51,303
93.5,1.5579054,0.51060474,47,296
94.0,1.1899537,0.3940208,46,289
94.5,1.2088538,0.28262603,51,293
95.0,1.3813312,0.42329818,46,298
95.5,1.2510687,0.3492766,50,303
96.0,1.2971966,0.38109875,51,302
96.5,1.2881329,0.3481351,54,297
97.0,1.4270138,0.37198782,49,293
97.5,1.4704884,0.32014817,53,299
98.0,1.4031433,0.5180139,47,293
98.5,1.2943478,0.4425509,47,302
99.0,1.9177775,0.32525408,53,290
99.5,1.4583414,0.42738304,55,296
